applicant_income,coapplicant_income,credit_score,employment_years,loan_amount,loan_term,dependents_num,education,self_employed,married,property_area,approval_probability_true,loan_status
60244.0,0.0,730.0,5.1,700.0,360,1,Graduate,No,No,Semiurban,0.6066,1
95793.0,18429.0,454.0,3.1,700.0,240,0,Not Graduate,No,Yes,Semiurban,0.1064,0
66963.0,34496.0,834.0,16.7,700.0,120,0,Graduate,No,Yes,Urban,0.8901,1
65572.0,0.0,776.0,1.2,700.0,180,1,Graduate,No,No,Rural,0.8409,1
24380.0,25733.0,649.0,4.4,700.0,60,2,Graduate,No,Yes,Rural,0.0617,0
40328.0,0.0,732.0,6.0,700.0,300,0,Graduate,No,No,Semiurban,0.6464,1
134964.0,19828.0,569.0,8.7,700.0,300,0,Graduate,No,Yes,Semiurban,0.647,1
38076.0,0.0,588.0,2.6,700.0,240,3,Not Graduate,Yes,No,Semiurban,0.1334,0
96866.0,15657.0,863.0,5.8,700.0,300,1,Graduate,No,Yes,Urban,0.9464,1
44066.0,0.0,586.0,1.8,452.0,240,0,Graduate,No,No,Urban,0.304,0
50681.0,0.0,699.0,2.9,700.0,120,1,Graduate,No,No,Semiurban,0.3767,0
70724.0,55421.0,572.0,11.3,700.0,240,3,Not Graduate,No,Yes,Rural,0.7157,1
59414.0,0.0,745.0,15.0,700.0,300,2,Not Graduate,No,No,Urban,0.6445,0
66852.0,0.0,759.0,6.3,700.0,480,1,Graduate,No,No,Semiurban,0.8967,1
40388.0,41855.0,766.0,2.3,700.0,240,0,Graduate,No,Yes,Rural,0.6496,1
35340.0,28872.0,755.0,8.6,700.0,300,2,Graduate,No,Yes,Urban,0.607,0
31277.0,28794.0,803.0,0.1,614.0,360,0,Graduate,Yes,Yes,Urban,0.7952,1
45544.0,0.0,640.0,0.5,560.0,240,2,Graduate,No,No,Rural,0.2059,0
51725.0,40786.0,603.0,5.4,700.0,480,0,Graduate,No,Yes,Urban,0.5143,1
63189.0,37918.0,615.0,1.7,700.0,240,0,Graduate,Yes,Yes,Urban,0.3806,0
59082.0,26823.0,597.0,15.1,700.0,480,0,Graduate,No,Yes,Urban,0.7862,1
69810.0,42138.0,706.0,2.9,700.0,60,0,Graduate,No,Yes,Semiurban,0.4584,1
60444.0,0.0,685.0,2.8,700.0,300,1,Graduate,No,No,Rural,0.6232,1
31545.0,0.0,725.0,5.7,700.0,360,3,Graduate,Yes,No,Semiurban,0.551,0
61166.0,23840.0,530.0,7.3,700.0,180,1,Graduate,Yes,Yes,Semiurban,0.3316,1
60170.0,15455.0,686.0,3.2,700.0,120,2,Not Graduate,No,Yes,Semiurban,0.4335,0
78368.0,0.0,810.0,1.2,700.0,60,0,Graduate,No,No,Rural,0.6239,1
30607.0,46048.0,738.0,7.4,700.0,120,2,Graduate,Yes,Yes,Urban,0.6748,1
24174.0,17195.0,516.0,1.9,700.0,300,2,Graduate,No,Yes,Urban,0.19,0
60725.0,37812.0,668.0,1.0,659.0,360,1,Graduate,Yes,Yes,Rural,0.4843,0
66080.0,31358.0,633.0,5.0,700.0,120,0,Graduate,No,Yes,Rural,0.3252,1
52821.0,18448.0,694.0,0.5,700.0,120,1,Graduate,No,Yes,Urban,0.6491,1
57628.0,0.0,695.0,17.8,700.0,60,1,Graduate,No,No,Urban,0.4168,1
82379.0,43136.0,856.0,5.0,700.0,180,0,Not Graduate,No,Yes,Semiurban,0.9024,1
46972.0,0.0,735.0,21.3,494.0,480,2,Not Graduate,No,No,Urban,0.7164,1
50664.0,97012.0,715.0,2.1,700.0,180,3,Not Graduate,No,Yes,Semiurban,0.8079,1
58876.0,28335.0,727.0,17.7,700.0,240,0,Graduate,No,Yes,Urban,0.9293,1
34121.0,0.0,739.0,0.8,700.0,180,1,Graduate,No,No,Urban,0.5218,1
46974.0,36650.0,647.0,0.2,700.0,120,1,Graduate,Yes,Yes,Semiurban,0.5746,0
55449.0,24328.0,766.0,0.2,700.0,180,1,Graduate,No,Yes,Rural,0.8121,1
113273.0,19503.0,662.0,3.1,700.0,180,0,Graduate,No,Yes,Semiurban,0.6989,1
42852.0,16168.0,799.0,0.4,700.0,120,2,Graduate,Yes,Yes,Urban,0.8441,1
61945.0,0.0,747.0,3.6,587.0,360,0,Graduate,No,No,Rural,0.6101,0
83769.0,40302.0,670.0,2.0,700.0,240,0,Not Graduate,No,Yes,Semiurban,0.6591,0
40065.0,0.0,776.0,2.0,577.0,300,2,Graduate,No,No,Urban,0.6168,1
101500.0,16582.0,750.0,5.0,700.0,240,1,Graduate,No,Yes,Semiurban,0.866,1
105760.0,31598.0,748.0,0.9,700.0,180,2,Graduate,Yes,Yes,Urban,0.8779,1
56267.0,0.0,716.0,7.3,700.0,120,0,Graduate,No,No,Semiurban,0.6433,1
45408.0,0.0,679.0,4.4,700.0,120,0,Graduate,No,No,Semiurban,0.5312,1
112802.0,11730.0,732.0,12.3,700.0,180,3,Graduate,No,Yes,Urban,0.4647,1
79552.0,92161.0,638.0,2.3,700.0,360,0,Not Graduate,No,Yes,Urban,0.6509,1
58949.0,57487.0,830.0,20.3,700.0,180,2,Graduate,No,Yes,Urban,0.9651,1
103702.0,0.0,829.0,4.3,700.0,240,2,Not Graduate,No,No,Semiurban,0.8924,1
99192.0,0.0,775.0,18.1,700.0,300,1,Not Graduate,No,No,Urban,0.8035,1
49453.0,0.0,827.0,0.1,700.0,300,0,Graduate,No,No,Urban,0.698,0
63226.0,10543.0,801.0,6.5,700.0,300,1,Not Graduate,No,Yes,Rural,0.7135,1
72566.0,0.0,685.0,8.5,700.0,180,2,Graduate,No,No,Semiurban,0.5517,1
57645.0,11916.0,772.0,0.3,700.0,300,0,Graduate,No,Yes,Urban,0.8999,1
31756.0,20119.0,580.0,4.3,700.0,360,0,Graduate,No,Yes,Semiurban,0.5246,1
38405.0,25772.0,727.0,8.1,700.0,240,0,Graduate,No,Yes,Urban,0.8736,1
32194.0,0.0,589.0,4.1,403.0,480,0,Graduate,No,No,Semiurban,0.4686,0
70054.0,0.0,682.0,0.3,700.0,300,2,Graduate,No,No,Semiurban,0.5489,1
34633.0,23919.0,556.0,5.9,700.0,300,2,Not Graduate,No,Yes,Semiurban,0.2464,0
61748.0,33695.0,797.0,0.3,700.0,240,3,Graduate,No,Yes,Semiurban,0.8135,1
122934.0,0.0,673.0,8.5,700.0,360,1,Graduate,No,No,Urban,0.6881,1
103742.0,28837.0,779.0,0.2,700.0,240,2,Graduate,No,Yes,Semiurban,0.9245,1
26325.0,16518.0,686.0,0.7,424.0,480,0,Graduate,No,Yes,Urban,0.7599,0
33288.0,0.0,508.0,1.6,667.0,240,1,Not Graduate,No,No,Urban,0.1024,0
31350.0,0.0,632.0,5.0,402.0,360,1,Graduate,Yes,No,Rural,0.1921,0
34857.0,15814.0,671.0,18.7,427.0,300,2,Not Graduate,No,Yes,Semiurban,0.7909,0
28436.0,57899.0,692.0,0.6,700.0,360,2,Graduate,No,Yes,Rural,0.5319,0
56695.0,12619.0,837.0,0.8,700.0,60,3,Graduate,No,Yes,Urban,0.7645,1
76584.0,97280.0,856.0,2.3,700.0,180,2,Graduate,No,Yes,Semiurban,0.9601,1
85024.0,0.0,678.0,9.0,700.0,360,2,Not Graduate,No,No,Urban,0.6498,0
46664.0,27949.0,579.0,3.1,700.0,240,0,Graduate,No,Yes,Semiurban,0.2394,0
54975.0,0.0,600.0,1.9,700.0,360,2,Graduate,Yes,No,Urban,0.3053,0
66130.0,38612.0,747.0,4.1,700.0,480,1,Graduate,No,Yes,Urban,0.7555,0
54417.0,24044.0,685.0,1.5,700.0,180,0,Graduate,No,Yes,Urban,0.6792,1
80054.0,31738.0,548.0,2.6,700.0,240,0,Graduate,No,Yes,Semiurban,0.3385,0
68238.0,0.0,649.0,2.0,700.0,180,1,Graduate,No,No,Urban,0.5344,0
48628.0,38876.0,823.0,8.2,700.0,180,0,Not Graduate,No,Yes,Rural,0.5871,1
26114.0,53206.0,748.0,12.9,700.0,300,0,Graduate,No,Yes,Urban,0.7338,1
106894.0,36164.0,712.0,7.1,700.0,180,1,Graduate,No,Yes,Urban,0.696,0
42695.0,15943.0,661.0,2.9,681.0,240,3,Graduate,No,Yes,Semiurban,0.4861,1
66183.0,8571.0,656.0,3.5,700.0,480,2,Graduate,No,Yes,Rural,0.5634,0
25464.0,30214.0,745.0,0.7,700.0,240,0,Graduate,No,Yes,Urban,0.4794,0
56684.0,30455.0,721.0,6.9,700.0,360,0,Graduate,No,Yes,Urban,0.7308,0
59404.0,77595.0,775.0,4.5,700.0,240,0,Graduate,No,Yes,Semiurban,0.8661,1
60622.0,25243.0,757.0,11.6,700.0,180,0,Not Graduate,No,Yes,Urban,0.8568,0
144103.0,33056.0,671.0,1.1,700.0,240,0,Graduate,Yes,Yes,Semiurban,0.7067,0
43692.0,41252.0,744.0,7.1,589.0,120,3,Graduate,No,Yes,Urban,0.6228,0
80393.0,35681.0,648.0,5.8,700.0,300,1,Graduate,No,Yes,Semiurban,0.5925,1
70952.0,42795.0,691.0,1.5,700.0,300,0,Graduate,No,Yes,Urban,0.6573,1
42829.0,0.0,831.0,5.5,325.0,300,0,Graduate,No,No,Semiurban,0.844,1
79888.0,15725.0,721.0,12.9,688.0,240,0,Graduate,No,Yes,Rural,0.9011,1
53156.0,23056.0,699.0,12.5,700.0,300,0,Graduate,No,Yes,Rural,0.7274,1
77331.0,8138.0,701.0,6.4,517.0,180,0,Graduate,Yes,Yes,Semiurban,0.6785,1
129781.0,0.0,582.0,0.2,700.0,300,3,Graduate,No,No,Rural,0.229,0
60678.0,0.0,736.0,10.3,605.0,120,0,Graduate,No,No,Urban,0.5921,0
50611.0,0.0,865.0,5.4,700.0,240,0,Graduate,No,No,Urban,0.9027,1
88579.0,23254.0,619.0,1.9,700.0,300,0,Graduate,No,Yes,Semiurban,0.4258,0
102395.0,15391.0,720.0,1.0,700.0,360,1,Graduate,No,Yes,Semiurban,0.7919,1
39302.0,0.0,691.0,0.6,688.0,360,0,Graduate,No,No,Urban,0.5981,0
47087.0,0.0,688.0,0.3,700.0,300,0,Graduate,No,No,Semiurban,0.5412,1
77437.0,43242.0,664.0,7.0,700.0,360,0,Not Graduate,Yes,Yes,Urban,0.4823,1
